inspection_score,inspection_type,violation_id,violation_description,risk_category
86,Routine - Unscheduled,1922_20160225_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,67448_20180507_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
86,Routine - Unscheduled,1757_20170928_103131,Moderate risk vermin infestation,Moderate Risk
92,Routine - Unscheduled,93022_20180907_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
84,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk
92,Routine - Unscheduled,79782_20160503_103120,Moderate risk food holding temperature,Moderate Risk
71,Routine - Unscheduled,73840_20171207_103105,Improper cooling methods,High Risk
76,Routine - Unscheduled,76437_20160329_103113,Sewage or wastewater contamination,High Risk
93,Routine - Unscheduled,91811_20180914_103109,Unclean or unsanitary food contact surfaces,High Risk
77,Routine - Unscheduled,1146_20180223_103103,High risk food holding temperature,High Risk
72,Routine - Unscheduled,3838_20180222_103142,Unclean nonfood contact surfaces,Low Risk
98,Routine - Unscheduled,3736_20180720_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,95_20180509_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,38929_20160114_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,81161_20160325_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
86,Routine - Unscheduled,85781_20160311_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,1280_20180327_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
82,Routine - Unscheduled,16441_20161206_103154,Unclean or degraded floors walls or ceilings,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
57,Routine - Unscheduled,2716_20160323_103131,Moderate risk vermin infestation,Moderate Risk
90,Routine - Unscheduled,35805_20180514_103145,Improper storage of equipment utensils or linens,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
85,Routine - Unscheduled,77185_20180130_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
86,Routine - Unscheduled,64380_20160414_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,3594_20160330_103133,Foods not protected from contamination,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
68,Routine - Unscheduled,69762_20160413_103133,Foods not protected from contamination,Moderate Risk
78,Routine - Unscheduled,80081_20170104_103120,Moderate risk food holding temperature,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
86,Routine - Unscheduled,62710_20160511_103139,Improper food storage,Low Risk
71,Routine - Unscheduled,4960_20160413_103154,Unclean or degraded floors walls or ceilings,Low Risk
76,Routine - Unscheduled,73840_20170105_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
82,Routine - Unscheduled,74922_20160430_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
87,Routine - Unscheduled,66999_20160607_103102,Unclean hands or improper use of gloves,High Risk
83,Routine - Unscheduled,4787_20160628_103131,Moderate risk vermin infestation,Moderate Risk
88,Routine - Unscheduled,82911_20170927_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,82563_20180515_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
93,Routine - Unscheduled,80494_20180227_103114,High risk vermin infestation,High Risk
81,Routine - Unscheduled,81409_20180130_103105,Improper cooling methods,High Risk
72,Routine - Unscheduled,59577_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,33700_20160412_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88,Routine - Unscheduled,5316_20171130_103145,Improper storage of equipment utensils or linens,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
96,Routine - Unscheduled,1596_20171201_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,3522_20160412_103120,Moderate risk food holding temperature,Moderate Risk
72,Routine - Unscheduled,37633_20160519_103114,High risk vermin infestation,High Risk
96,Routine - Unscheduled,39667_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
71,Routine - Unscheduled,6643_20180509_103131,Moderate risk vermin infestation,Moderate Risk
92,Routine - Unscheduled,59838_20160531_103133,Foods not protected from contamination,Moderate Risk
71,Routine - Unscheduled,58673_20160412_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
87,Routine - Unscheduled,66534_20160413_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,69769_20180725_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,39403_20171213_103142,Unclean nonfood contact surfaces,Low Risk
89,Routine - Unscheduled,71065_20171211_103142,Unclean nonfood contact surfaces,Low Risk
90,Routine - Unscheduled,77566_20180223_103177,Non service animal,Low Risk
83,Routine - Unscheduled,81987_20160627_103156,Permit license or inspection report not posted,Low Risk
83,Routine - Unscheduled,81987_20160627_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
87,Routine - Unscheduled,83572_20180515_103103,High risk food holding temperature,High Risk
86,Routine - Unscheduled,3241_20160906_103154,Unclean or degraded floors walls or ceilings,Low Risk
86,Routine - Unscheduled,93993_20180511_103154,Unclean or degraded floors walls or ceilings,Low Risk
87,Routine - Unscheduled,5268_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90,Routine - Unscheduled,93080_20180511_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
72,Routine - Unscheduled,59577_20160502_103156,Permit license or inspection report not posted,Low Risk
92,Routine - Unscheduled,5960_20160506_103120,Moderate risk food holding temperature,Moderate Risk
87,Routine - Unscheduled,27377_20180514_103103,High risk food holding temperature,High Risk
96,Routine - Unscheduled,86301_20180511_103145,Improper storage of equipment utensils or linens,Low Risk
90,Routine - Unscheduled,65649_20161206_103120,Moderate risk food holding temperature,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
83,Routine - Unscheduled,64176_20180725_103120,Moderate risk food holding temperature,Moderate Risk
94,Routine - Unscheduled,87099_20161110_103157,Food safety certificate or food handler card not available,Low Risk
86,Routine - Unscheduled,69353_20160907_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
79,Routine - Unscheduled,58850_20160906_103156,Permit license or inspection report not posted,Low Risk
96,Routine - Unscheduled,32586_20160906_103144,Unapproved or unmaintained equipment or utensils,Low Risk
88,Routine - Unscheduled,85955_20180726_103154,Unclean or degraded floors walls or ceilings,Low Risk
86,Routine - Unscheduled,70685_20171212_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
94,Routine - Unscheduled,91934_20170928_103154,Unclean or degraded floors walls or ceilings,Low Risk
89,Routine - Unscheduled,13671_20180227_103102,Unclean hands or improper use of gloves,High Risk
80,Routine - Unscheduled,4907_20170105_103131,Moderate risk vermin infestation,Moderate Risk
88,Routine - Unscheduled,40217_20160502_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,1632_20160810_103120,Moderate risk food holding temperature,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
76,Routine - Unscheduled,69282_20160413_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
94,Routine - Unscheduled,18805_20160607_103154,Unclean or degraded floors walls or ceilings,Low Risk
81,Routine - Unscheduled,77778_20160502_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
91,Routine - Unscheduled,75259_20160325_103105,Improper cooling methods,High Risk
88,Routine - Unscheduled,76526_20180227_103120,Moderate risk food holding temperature,Moderate Risk
89,Routine - Unscheduled,38788_20180907_103109,Unclean or unsanitary food contact surfaces,High Risk
83,Routine - Unscheduled,3211_20160815_103133,Foods not protected from contamination,Moderate Risk
85,Routine - Unscheduled,81509_20161205_103157,Food safety certificate or food handler card not available,Low Risk
90,Routine - Unscheduled,38798_20160518_103145,Improper storage of equipment utensils or linens,Low Risk
88,Routine - Unscheduled,3253_20160413_103132,Improper thawing methods,Moderate Risk
87,Routine - Unscheduled,1977_20160328_103105,Improper cooling methods,High Risk
73,Routine - Unscheduled,77564_20160503_103109,Unclean or unsanitary food contact surfaces,High Risk
79,Routine - Unscheduled,36673_20160901_103161,Low risk vermin infestation,Low Risk
81,Routine - Unscheduled,65382_20180905_103103,High risk food holding temperature,High Risk
68,Routine - Unscheduled,69762_20160413_103144,Unapproved or unmaintained equipment or utensils,Low Risk
96,Routine - Unscheduled,68295_20160928_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
92,Routine - Unscheduled,5875_20160906_103131,Moderate risk vermin infestation,Moderate Risk
83,Routine - Unscheduled,18826_20160926_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
68,Routine - Unscheduled,73889_20160322_103132,Improper thawing methods,Moderate Risk
87,Routine - Unscheduled,2134_20161109_103103,High risk food holding temperature,High Risk
57,Routine - Unscheduled,76615_20160504_103114,High risk vermin infestation,High Risk
79,Routine - Unscheduled,36673_20160901_103148,No thermometers or uncalibrated thermometers,Low Risk
98,Routine - Unscheduled,547_20160412_103142,Unclean nonfood contact surfaces,Low Risk
89,Routine - Unscheduled,70137_20160511_103139,Improper food storage,Low Risk
87,Routine - Unscheduled,86271_20160628_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
96,Routine - Unscheduled,917_20160902_103120,Moderate risk food holding temperature,Moderate Risk
71,Routine - Unscheduled,58673_20160412_103114,High risk vermin infestation,High Risk
96,Routine - Unscheduled,76223_20160814_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
81,Routine - Unscheduled,2544_20161205_103133,Foods not protected from contamination,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,60544_20160929_103157,Food safety certificate or food handler card not available,Low Risk
86,Routine - Unscheduled,3241_20160906_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
68,Routine - Unscheduled,69762_20160413_103132,Improper thawing methods,Moderate Risk
83,Routine - Unscheduled,67985_20160628_103156,Permit license or inspection report not posted,Low Risk
94,Routine - Unscheduled,81680_20160930_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
57,Routine - Unscheduled,76615_20160504_103108,Contaminated or adulterated food,High Risk
66,Routine - Unscheduled,62578_20171207_103145,Improper storage of equipment utensils or linens,Low Risk
71,Routine - Unscheduled,4960_20160413_103114,High risk vermin infestation,High Risk
85,Routine - Unscheduled,140_20160414_103154,Unclean or degraded floors walls or ceilings,Low Risk
72,Routine - Unscheduled,286_20160607_103103,High risk food holding temperature,High Risk
80,Routine - Unscheduled,60334_20180426_103133,Foods not protected from contamination,Moderate Risk
88,Routine - Unscheduled,77484_20160329_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,69181_20160330_103120,Moderate risk food holding temperature,Moderate Risk
98,Routine - Unscheduled,7689_20160811_103148,No thermometers or uncalibrated thermometers,Low Risk
88,Routine - Unscheduled,5016_20171208_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
81,Routine - Unscheduled,89758_20171211_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
77,Routine - Unscheduled,85714_20161205_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88,Routine - Unscheduled,75223_20180228_103154,Unclean or degraded floors walls or ceilings,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,86593_20171207_103138,Improper storage use or identification of toxic substances,Low Risk
87,Routine - Unscheduled,58628_20160413_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,5913_20160906_103131,Moderate risk vermin infestation,Moderate Risk
85,Routine - Unscheduled,2755_20161205_103114,High risk vermin infestation,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,2292_20160414_103154,Unclean or degraded floors walls or ceilings,Low Risk
91,Routine - Unscheduled,65873_20171208_103156,Permit license or inspection report not posted,Low Risk
94,Routine - Unscheduled,35852_20161205_103154,Unclean or degraded floors walls or ceilings,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,74358_20160511_103142,Unclean nonfood contact surfaces,Low Risk
86,Routine - Unscheduled,3241_20160906_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,82105_20160812_103157,Food safety certificate or food handler card not available,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
94,Routine - Unscheduled,5219_20180511_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,59002_20180515_103138,Improper storage use or identification of toxic substances,Low Risk
75,Routine - Unscheduled,62064_20160411_103150,Improper or defective plumbing,Low Risk
73,Routine - Unscheduled,77564_20160503_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
82,Routine - Unscheduled,13814_20160930_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
83,Routine - Unscheduled,75681_20160608_103103,High risk food holding temperature,High Risk
83,Routine - Unscheduled,65873_20160815_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
94,Routine - Unscheduled,2061_20180223_103133,Foods not protected from contamination,Moderate Risk
84,Routine - Unscheduled,86180_20161205_103147,Inadequate ventilation or lighting,Low Risk
86,Routine - Unscheduled,66990_20160601_103138,Improper storage use or identification of toxic substances,Low Risk
76,Routine - Unscheduled,69282_20160413_103142,Unclean nonfood contact surfaces,Low Risk
92,Routine - Unscheduled,79782_20160503_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
81,Routine - Unscheduled,75523_20160511_103156,Permit license or inspection report not posted,Low Risk
90,Routine - Unscheduled,82656_20180720_103147,Inadequate ventilation or lighting,Low Risk
98,Routine - Unscheduled,7610_20171208_103139,Improper food storage,Low Risk
87,Routine - Unscheduled,63082_20180222_103133,Foods not protected from contamination,Moderate Risk
87,Routine - Unscheduled,35855_20170105_103109,Unclean or unsanitary food contact surfaces,High Risk
88,Routine - Unscheduled,90709_20180510_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94,Routine - Unscheduled,24279_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
78,Routine - Unscheduled,80081_20170104_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,3253_20160413_103120,Moderate risk food holding temperature,Moderate Risk
94,Routine - Unscheduled,82945_20160927_103131,Moderate risk vermin infestation,Moderate Risk
88,Routine - Unscheduled,38929_20160114_103156,Permit license or inspection report not posted,Low Risk
79,Routine - Unscheduled,58850_20160906_103112,No hot water or running water,High Risk
94,Routine - Unscheduled,39888_20160929_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,1970_20161207_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
96,Routine - Unscheduled,4685_20161203_103156,Permit license or inspection report not posted,Low Risk
57,Routine - Unscheduled,76615_20160504_103154,Unclean or degraded floors walls or ceilings,Low Risk
86,Routine - Unscheduled,64380_20160414_103147,Inadequate ventilation or lighting,Low Risk
68,Routine - Unscheduled,77031_20160930_103102,Unclean hands or improper use of gloves,High Risk
90,Routine - Unscheduled,37389_20161205_103145,Improper storage of equipment utensils or linens,Low Risk
92,Routine - Unscheduled,1632_20160810_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,7496_20160518_103142,Unclean nonfood contact surfaces,Low Risk
68,Routine - Unscheduled,77031_20160930_103139,Improper food storage,Low Risk
84,Routine - Unscheduled,1005_20160502_103131,Moderate risk vermin infestation,Moderate Risk
63,Routine - Unscheduled,2110_20160906_103143,Inadequate warewashing facilities or equipment,Low Risk
88,Routine - Unscheduled,81758_20160404_103161,Low risk vermin infestation,Low Risk
