0,Routine - Unscheduled,1922_20160225_103154,Unclean or degraded floors walls or ceilings,86,37.782694,-122.468969
0,Routine - Unscheduled,67448_20180507_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,92,37.741829,-122.388098
Moderate Risk,Routine - Unscheduled,1757_20170928_103131,Moderate risk vermin infestation,86,37.789784,-122.420455
0,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,84,37.759174,-122.419066
High Risk,Routine - Unscheduled,1146_20180223_103103,High risk food holding temperature,77,37.798274,-122.422264
0,Routine - Unscheduled,3838_20180222_103142,Unclean nonfood contact surfaces,72,37.764908,-122.422442
0,Routine - Unscheduled,3736_20180720_103144,Unapproved or unmaintained equipment or utensils,98,37.774758,-122.464955
0,Routine - Unscheduled,95_20180509_103154,Unclean or degraded floors walls or ceilings,92,37.739207,-122.417447
0,Routine - Unscheduled,38929_20160114_103139,Improper food storage,88,37.752439,-122.41625
Moderate Risk,Routine - Unscheduled,1280_20180327_103116,Inadequate food safety knowledge or lack of certified food safety manager,92,37.766774,-122.433306
0,Routine - Unscheduled,16441_20161206_103154,Unclean or degraded floors walls or ceilings,82,37.728718,-122.404101
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.762857,-122.434755
Moderate Risk,Routine - Unscheduled,2716_20160323_103131,Moderate risk vermin infestation,57,37.782888,-122.466101
0,Routine - Unscheduled,35805_20180514_103145,Improper storage of equipment utensils or linens,90,37.782008,-122.485732
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.765708,-122.409002
0,Routine - Unscheduled,64380_20160414_103154,Unclean or degraded floors walls or ceilings,86,37.793338,-122.399583
Moderate Risk,Routine - Unscheduled,3594_20160330_103133,Foods not protected from contamination,88,37.760423,-122.505209
0,Routine - Unscheduled,62710_20160511_103139,Improper food storage,86,37.777122,-122.419639
0,Routine - Unscheduled,4960_20160413_103154,Unclean or degraded floors walls or ceilings,71,37.753583,-122.490839
High Risk,Routine - Unscheduled,66999_20160607_103102,Unclean hands or improper use of gloves,87,37.800344,-122.439697
Moderate Risk,Routine - Unscheduled,4787_20160628_103131,Moderate risk vermin infestation,83,37.778033,-122.40943
0,Routine - Unscheduled,59577_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,72,37.784848,-122.406892
Moderate Risk,Routine - Unscheduled,33700_20160412_103119,Inadequate and inaccessible handwashing facilities,90,37.749194,-122.418116
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.78833,-122.408525
0,Routine - Unscheduled,1596_20171201_103144,Unapproved or unmaintained equipment or utensils,96,37.765848,-122.449664
Moderate Risk,Routine - Unscheduled,3522_20160412_103120,Moderate risk food holding temperature,92,37.794958,-122.406367
High Risk,Routine - Unscheduled,37633_20160519_103114,High risk vermin infestation,72,37.781988,-122.486252
Moderate Risk,Routine - Unscheduled,39667_20160906_103119,Inadequate and inaccessible handwashing facilities,96,37.789437,-122.401111
No Risk,Routine - Unscheduled,95_20180509_103100,None,100,37.794588,-122.399642
Moderate Risk,Routine - Unscheduled,6643_20180509_103131,Moderate risk vermin infestation,71,37.783661,-122.414341
Moderate Risk,Routine - Unscheduled,59838_20160531_103133,Foods not protected from contamination,92,37.786988,-122.434074
0,Routine - Unscheduled,58673_20160412_103151,Inadequate or unsanitary refuse containers or area or no garbage service,71,37.796973,-122.408504
Moderate Risk,Routine - Unscheduled,66534_20160413_103120,Moderate risk food holding temperature,87,37.723698,-122.495289
0,Routine - Unscheduled,69769_20180725_103144,Unapproved or unmaintained equipment or utensils,90,37.723652,-122.45461
0,Routine - Unscheduled,39403_20171213_103142,Unclean nonfood contact surfaces,90,37.73089,-122.392227
